authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,issue,type_mapping,packet
"Mizuseki K, Sirota A, Pastalkova E, Buzsáki G.",19874793,,,,,,267,280,Theta oscillations provide temporal windows for local circuit computation in the entorhinal-hippocampal loop.,2009,Neuron,,,,
"Hu H, Martina M, Jonas P",19965717,,,10.1126/science.1177876,,,52,58,Dendritic mechanisms underlying rapid synaptic activation of fast-spiking hippocampal interneurons.,2010 Jan 1,Science,327,5961,,0
"Larimer P, Strowbridge BW",20037579,PMC2840722,NIHMSID165657,10.1038/nn.2458,,1,213,222,Representing information in cell assemblies: persistent activity mediated by semilunar granule cells.,2010 Feb,Nat Neurosci,13,2,1001: DG:SGC: Dentate gyrus semilunar granule cell,1
"Nissen W, Szabo A, Somogyi J, Somogyi P, Lamsa KP",20107060,,,10.1523/JNEUROSCI.3481-09.2010,,,1337,1347,Cell type-specific long-term plasticity at glutamatergic synapses onto hippocampal interneurons expressing either parvalbumin or CB1 cannabinoid receptor.,2010 Jan 27,J Neurosci,30,4,,
"Fuentealba P, Klausberger T, Karayannis T, Suen WY, Huck J, Tomioka R, Rockland K, Capogna M, Studer M, Morales M, Somogyi P",20130170,,,10.1523/JNEUROSCI.4199-09.2010,,,1595,1609,Expression of COUP-TFII nuclear receptor in restricted GABAergic neuronal populations in the adult rat hippocampus.,2010 Feb 3,J Neurosci,30,5,4000: CA1:PC: CA1 pyramidal cell ### 4011: CA1:NGF_proj: CA1 neurogliaform cells ### 4012: CA1:NGF: CA1 neurogliaform cells ### 4008: CA1:RADI: radiatum- and dentate-innervating interneuron ### 4008: CA1:RADI: RADI,1
"Tricoire L, Pelkey KA, Daw MI, Sousa VH, Miyoshi G, Jeffries B, Cauli B, Fishell G, McBain CJ",20147544,PMC2825142,NIHMSID176999,10.1523/JNEUROSCI.5123-09.2010,,1,2165,2176,Common origins of hippocampal Ivy and nitric oxide synthase expressing neurogliaform cells.,2010 Feb 10,J Neurosci,30,6,,0
"Ali AB, Todorova M",20345910,,,10.1111/j.1460-9568.2010.07165.x,,,1196,1207,Asynchronous release of GABA via tonic cannabinoid receptor activation at identified interneuron synapses in rat CA1.,2010 Apr,Eur J Neurosci,31,7,,
"Snider J, Pillai A, Stevens CF",20399728,,NIHMSID199494,10.1016/j.neuron.2010.02.013,,1,45,56,A universal property of axonal and dendritic arbors.,2010 Apr 15,Neuron,66,1,,0
"Zemankovics R, Kali S, Paulsen O, Freund TF, Hajos N",20421280,PMC2905616,,10.1113/jphysiol.2009.185975,,1,2109,2132,Differences in subthreshold resonance of hippocampal pyramidal cells and interneurons: the role of h-current and passive membrane characteristics.,2010 Jun 15,J Physiol,588,Pt 12,"4069: CA1:O-LM: CA1 OLM cells ### 4035: CA1:TH-ORP-DP-OR: CA1 oriens-radiatum cells, CA1 O-R cells ### 4039: CA1:BC-FSPTI: CA1 fast-spiking perisomatic region-targeting interneurons ### 4024: CA1:SR_O-LM: CA1 oriens-lacunosum-moleculare cell ### 4024: CA1:SR_O-LM: CA1 OLM cell",1
"Cerasti E, Treves A",20454678,PMC2861628,,10.1371/journal.pcbi.1000759,,1,e1000759,,How informative are spatial CA3 representations established by the dentate gyrus?,2010 Apr,PLoS Comput Biol,6,4,,0
