authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,issue,type_mapping,packet
"Klink R, Alonso A",9347353,,,10.1002/(SICI)1098-1063(1997)7:5&lt;571::AID-HIPO12&gt;3.0.CO;2-Y,,,571,583,Morphological characteristics of layer II projection neurons in the rat medial entorhinal cortex.,1997,Hippocampus,7,5,"6082: EC:excitatory: EC layer II stellate cells, EC layer II horizontal tripolar cells ### 6008: EC:PC-MFC_II: MEC layer II pyramidal-like neurons",1
"Freund TF, Hajos N, Acsady L, Gorcs TJ, Katona I",9383204,,,,,,1815,1830,Mossy cells of the rat dentate gyrus are immunoreactive for calcitonin gene-related peptide (CGRP).,1997 Sep,Eur J Neurosci,9,9,,
"Tsou K, Brown S, Sanudo-Pena MC, Mackie K, Walker JM",9460749,,,,,,393,411,Immunohistochemical distribution of cannabinoid CB1 receptors in the rat central  nervous system.,1998 Mar,Neuroscience,83,2,,
"Hajos N, Papp EC, Acsady L, Levey AI, Freund TF",9466448,,,,,,355,376,Distinct interneuron types express m2 muscarinic receptor immunoreactivity on their dendrites or axon terminals in the hippocampus.,1998 Jan,Neuroscience,82,2,,
"Maccaferri G, Toth K, McBain CJ",9478900,,,10.1126/science.279.5355.1368,,,1368,1370,Target-specific expression of presynaptic mossy fiber plasticity. ,1998 Feb 27,Science,279,5355,,
"Fujise N, Liu Y, Hori N, Kosaka T",9483514,,,,,,181,200,"Distribution of calretinin immunoreactivity in the mouse dentate gyrus: II. Mossy cells, with special reference to their dorsoventral difference in calretinin immunoreactivity.",1998 Jan,Neuroscience,82,1,,
"Ali AB, Thomson AM",9490837,PMC2230767,,10.1111/j.1469-7793.1998.185bu.x,,1,185,199,Facilitating pyramid to horizontal oriens-alveus interneurone inputs: dual intracellular recordings in slices of rat hippocampus.,1998 Feb 15,J Physiol,507 ( Pt 1),,4069: CA1:O-LM: CA1 horizontal O-A interneurones ### 4067: CA1:SO_O-LM: CA1 horizontal O-A interneurones,1
"Ali AB, Deuchars J, Pawelzik H, Thomson AM",9490840,PMC2230771,,10.1111/j.1469-7793.1998.201bu.x,,1,201,217,CA1 pyramidal to basket and bistratified cell EPSPs: dual intracellular recordings in rat hippocampal slices.,1998 Feb 15,J Physiol,507 ( Pt 1),,,0
"Lubke J, Frotscher M, Spruston N",9497429,,,,,,1518,1534,Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,1998 Mar,J Neurophysiol,79,3,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1026: DG:HICAL: Dentate gyrus spiny hilar interneurons with projections to the outer molecular layer; Dentate gyrus aspiny hilar interneurons with projections to the outer molecular layer ### 1027: DG:aspiny_hilar: Dentate gyrus aspiny interneuron with projection to the inner molecular layer,1
"Vida I, Halasy K, Szinyei C, Somogyi P, Buhl EH",9503336,PMC2230758,,10.1111/j.1469-7793.1998.755bv.x,,1,755,773,Unitary IPSPs evoked by interneurons at the stratum radiatum-stratum lacunosum-moleculare border in the CA1 area of the rat hippocampus in vitro.,1998 Feb 1,J Physiol,506 ( Pt 3),,4005: CA1:NGF-LM: CA1 neurogliaform interneuron ### 4006: CA1:PPA-SUB: perforant path-associated ### 4015: CA1:SCA-ADI: CA1 Schaffer-associated interneurons,1
"Acsady L, Kamondi A, Sik A, Freund T, Buzsaki G",9547246,,,,,,3386,3403,GABAergic cells are the major postsynaptic targets of mossy fibers in the rat hippocampus.,1998 May 1,J Neurosci,18,9,1000: DG:GC: Dentate gyrus granule cell,1
"Naber PA, Witter MP",9548550,,,10.1002/(SICI)1096-9861(19980413)393:3&lt;284::AID-CNE2&gt;3.0.CO;2-Y,,,284,297,"Subicular efferents are organized mostly as parallel projections: a double-labeling, retrograde-tracing study in the rat.",1998 Apr 13,J Comp Neurol,393,3,,0
"Lin H, Totterdell S",9603372,,,,,,195,208,Light and electron microscopic study of neuronal nitric oxide synthase-immunoreactive neurons in the rat subiculum.,1998 Jun 1,J Comp Neurol,395,2,,
"Parra P, Gulyas AI, Miles R",9620702,,,,,,983,993,How many subtypes of inhibitory cells in the hippocampus?,1998 May,Neuron,20,5,,
"Dolorfo CL, Amaral DG",9703026,,,10.1002/(SICI)1096-9861(19980817)398:1&lt;25::AID-CNE3&gt;3.0.CO;2-B,,,25,48,Entorhinal cortex of the rat: topographic organization of the cells of origin of  the perforant path projection to the dentate gyrus.,1998 Aug 17,J Comp Neurol,398,1,,0
"Alcantara S, Ruiz M, D'Arcangelo G, Ezan F, de Lecea L, Curran T, Sotelo C, Soriano E",9742148,,,,,,7779,7799,Regional and cellular patterns of reelin mRNA expression in the forebrain of the  developing and adult mouse.,1998 Oct 1,J Neurosci,18,19,,
"van der Linden S, Lopes da Silva FH",9749802,,,10.1046/j.1460-9568.1998.00162.x,,,1479,1489,Comparison of the electrophysiology and morphology of layers III and II neurons of the rat medial entorhinal cortex in vitro.,1998 Apr,Eur J Neurosci,10,4,6092: EC:PC_III: MEA layer III pyramidal cell,1
"Blasco-Ibanez JM, Martinez-Guijarro FJ, Freund TF",9751150,,,,,,1784,1795,Enkephalin-containing interneurons are specialized to innervate other interneurons in the hippocampal CA1 region of the rat and guinea-pig.,1998 May,Eur J Neurosci,10,5,,
"Jinno S, Aika Y, Fukuda T, Kosaka T",9838044,,,10.1016/S0006-8993(98)01075-0,,,55,70,"Quantitative analysis of GABAergic neurons in the mouse hippocampus, with optical disector using confocal laser scanning microscope.",1998 Dec 14,Brain Res,814,02-Jan,,0
"Svoboda KR, Adams CE, Lupica CR",9870941,,,,,,85,95,Opioid receptor subtype expression defines morphologically distinct classes of hippocampal interneurons.,1999 Jan 1,J Neurosci,19,1,"4069: CA1:O-LM: CA1 OLM or horizontal cells ### 4067: CA1:SO_O-LM: CA1 OLM or horizontal cells ### 4077: CA1:O-LM_proj: CA1 stratum oriens ""backprojection"" cell",1
"Gulyas AI, Toth K, McBain CJ, Freund TF",9875359,,,10.1046/j.1460-9568.1998.00402.x,,,3813,3822,Stratum radiatum giant cells: a type of principal cell in the rat hippocampus.,1998 Dec,Eur J Neurosci,10,12,"4054: CA1:PLP-RGC: CA1 radiatum giant cell, CA1 RGC",1
"Buckmaster PS, Dudek FE",10036272,,,,,,712,721,In vivo intracellular analysis of granule cell axon reorganization in epileptic rats.,1999 Feb,J Neurophysiol,81,2,1000: DG:GC: Dentate gyrus granule cell,1
"Katona I, Acsady L, Freund TF",10051188,,,10.1016/S0306-4522(98)00302-9,,,37,55,Postsynaptic targets of somatostatin-immunoreactive interneurons in the rat hippocampus.,1999 Jan,Neuroscience,88,1,4068: CA1:O-BiC: CA1 somatostatin-positive cell #4,1
"Cossart R, Esclapez M, Hirsch JC, Bernard C, Ben-Ari Y",10196544,,,10.1038/2185,,,470,478,GluR5 kainate receptor activation in interneurons increases tonic inhibition of pyramidal cells.,1998 Oct,Nat Neurosci,1,6,"4006: CA1:PPA-SUB: perforant path-associated ### 4015: CA1:SCA-ADI: CA1 Schaffer-associated interneurons ### 4033: CA1:CB-SOSO: CA1 oriens-oriens cells, CA1 O-O cells",1
"Toth K, McBain CJ",10196564,,,10.1038/2807,,,572,578,Afferent-specific innervation of two distinct AMPA receptor subtypes on single hippocampal interneurons.,1998 Nov,Nat Neurosci,1,7,2017: CA3:LC-3: CA3 stratum lucidum interneuron ### 2019: CA3:SLC: CA3 stratum lucidum interneuron ### 2027: CA3:LC-4: CA3 stratum lucidum interneurons,1
"Okazaki MM, Molnar P, Nadler JV",10200201,,,10.1152/jn.1999.81.4.1645,,,1645,1660,Recurrent mossy fiber pathway in rat dentate gyrus: synaptic currents evoked in presence and absence of seizure-induced growth. ,1999 Apr,J Neurophysiol,81,4,,
"Ali AB, Bannister AP, Thomson AM",10215927,,,,,,1741,1753,IPSPs elicited in CA1 pyramidal cells by putative basket cells in slices of adult rat hippocampus.,1999 May,Eur J Neurosci,11,5,,
"Abusaad I, MacKay D, Zhao J, Stanford P, Collier DA, Everall IP",10340505,,,10.1002/(SICI)1096-9861(19990614)408:4&lt;560::AID-CNE9&gt;3.0.CO;2-P,,,560,566,Stereological estimation of the total number of neurons in the murine hippocampus using the optical disector.,1999 Jun 14,J Comp Neurol,408,4,,0
"Katona I, Sperlagh B, Sik A, Kafalvi A, Vizi ES, Mackie K, Freund TF",10341254,,,,,,4544,4558,Presynaptically located CB1 cannabinoid receptors regulate GABA release from axon terminals of specific hippocampal interneurons.,1999 Jun 1,J Neurosci,19,11,,
"Gulyas AI, Acsady L, Freund TF",10397363,,,10.1016/S0197-0186(99)00041-8,,,359,372,Structural basis of the cholinergic and serotonergic modulation of GABAergic neurons in the hippocampus.,1999 May,Neurochem Int,34,5,4007: CA1:CH: CA1 ChAT-IR cells,0
"Jinno S, Aika Y, Fukuda T, Kosaka T",10404408,,,10.1002/(SICI)1096-9861(19990802)410:3&lt;398::AID-CNE4&gt;3.0.CO;2-9,,,398,412,Quantitative analysis of neuronal nitric oxide synthase-immunoreactive neurons in the mouse hippocampus with optical disector.,1999 Aug 2,J Comp Neurol,410,3,,0
"McQuiston AR, Madison DV",10407010,,,,,,5693,702,Muscarinic receptor activity has multiple effects on the resting membrane potentials of CA1 hippocampal interneurons. ,1999 Jul 15,J Neurosci,19,14,,
"McQuiston AR, Madison DV",10407011,,,,,,5703,5710,Muscarinic receptor activity induces an afterdepolarization in a subpopulation of hippocampal CA1 interneurons.,1999 Jul 15,J Neurosci,19,14,,
"Tsou K, Mackie K, Sanudo-Pena MC, Walker JM",10473261,,,,,,969,975,Cannabinoid CB1 receptors are localized primarily on cholecystokinin-containing GABAergic interneurons in the rat hippocampal formation.,1999,Neuroscience,93,3,,
"Buckmaster PS, Jongen-Relo AL",10531454,,,,,,9519,9529,Highly specific neuron loss preserves lateral inhibitory circuits in the dentate  gyrus of kainate-induced epileptic rats.,1999 Nov 1,J Neurosci,19,21,,1
"Marsicano G, Lutz B",10594647,,,,,,4213,4225,Expression of the cannabinoid receptor CB1 in distinct neuronal subpopulations in the adult mouse forebrain.,1999 Dec,Eur J Neurosci,11,12,,
"Martina M, Vida I, Jonas P",10634782,,,,,,295,300,Distal initiation and active propagation of action potentials in interneuron dendrites.,2000 Jan 14,Science,287,5451,,
"Vida I, Frotscher M",10655521,PMC15594,,10.1073/pnas.97.3.1275,,1,1275,1280,A hippocampal interneuron associated with the mossy fiber system.,2000 Feb 1,Proc Natl Acad Sci U S A,97,3,2035: CA3:MFA-2: CA3 mossy fiber-associated interneurons,1
"Iritani S, Niizato K, Nawa H, Ikeda K",10678776,,,,,,475,478,The distribution of neuropeptide Y and brain-derived neurotrophic factor immunoreactivity in hippocampal formation of the monkey and rat.,2000 Jan 10,Brain Res,852,2,,
"Hamam BN, Kennedy TE, Alonso A, Amaral DG",10713573,,,10.1002/(SICI)1096-9861(20000320)418:4&lt;457::AID-CNE7&gt;3.0.CO;2-L,,,457,472,Morphological and electrophysiological characteristics of layer V neurons of the  rat medial entorhinal cortex.,2000 Mar 20,J Comp Neurol,418,4,6085: EC:PC_V-DG: EC layer V horizontal cell ### 6021: EC:PC_V_sm: EC layer V pyramidal cells ### 6052: EC:PC-PMC_V/VI: MEC layer V polymorphic cells ### 6077: EC:MPN_2_V: EC layer V polymorphic cells,1
"Maccaferri G, Roberts JD, Szucs P, Cottingham CA, Somogyi P",10747186,PMC2269850,,10.1111/j.1469-7793.2000.t01-3-00091.x,,1,91,116,Cell surface domain specific postsynaptic currents evoked by identified GABAergic neurones in rat hippocampus in vitro.,2000 Apr 1,J Physiol,524 Pt 1,,"4069: CA1:O-LM: CA1 O-LM cells ### 4035: CA1:TH-ORP-DP-OR: CA1 oriens-bistratified cells, CA1 O-BiCs ### 4039: CA1:BC-FSPTI: CA1 basket cell, CA1 CCK-immunopositive basket cells",1
"Bouilleret V, Schwaller B, Schurmans S, Celio MR, Fritschy JM",10771338,,,,,,47,58,"Neurodegenerative and morphogenic changes in a mouse model of temporal lobe epilepsy do not depend on the expression of the calcium-binding proteins parvalbumin, calbindin, or calretinin.",2000,Neuroscience,97,1,,
"Oliva AA Jr, Jiang M, Lam T, Smith KL, Swann JW",10777798,,,,,,3354,3368,Novel hippocampal interneuronal subtypes identified using transgenic mice that express green fluorescent protein in GABAergic interneurons.,2000 May 1,J Neurosci,20,9,,1
"van Hooft JA, Giuffrida R, Blatow M, Monyer H",10804195,,,,,,3544,3551,Differential expression of group I metabotropic glutamate receptors in functionally distinct hippocampal interneurons.,2000 May 15,J Neurosci,20,10,,
"Kirson ED, Yaari Y",10864941,,,,,,4844,4854,Unique properties of NMDA receptors enhance synaptic excitation of radiatum giant cells in rat hippocampus.,2000 Jul 1,J Neurosci,20,13,,
"Scharfman HE, Goodman JH, Sollas AL",10934264,,,,,,6144,6158,Granule-like neurons at the hilar/CA3 border after status epilepticus and their synchrony with area CA3 pyramidal cells: functional implications of seizure-induced neurogenesis.,2000 Aug 15,J Neurosci,20,16,,
"Wouterlood FG, van Denderen JC, van Haeften T, Witter MP",10954838,,,10.1002/1096-9861(20000918)425:2&lt;177::AID-CNE2&gt;3.0.CO;2-G,,,177,192,"Calretinin in the entorhinal cortex of the rat: distribution, morphology, ultrastructure of neurons, and co-localization with gamma-aminobutyric acid and parvalbumin.",2000 Sep 18,J Comp Neurol,425,2,6094: EC:FOMP: EC layer I small spherical multipolar neurons ### 6087: EC:PL-BPN_III: EC layer III bipolar cells ### 6046: EC:med_MPN_III: LEC layer II large multipolar neurons with a medium-sized perikaryon ### 6029: EC:lg_MPN_III: EC layer III large multipolar cells ### 6032: EC:lg_MPN_2_III: EC layer III large multipolar cells ### 6051: EC:sm_sph_MPN_III: EC layer III small spherical multipolar cells,1
"Acsady L, Katona I, Martinez-Guijarro FJ, Buzsaki G, Freund TF",10995835,,,,,,6907,6919,Unusual target selectivity of perisomatic inhibitory cells in the hilar region of the rat hippocampus.,2000 Sep 15,J Neurosci,20,18,,0
"Hughes DI, Bannister AP, Pawelzik H, Thomson AM",10996371,,,,,,107,116,"Double immunofluorescence, peroxidase labelling and ultrastructural analysis of interneurones following prolonged electrophysiological recordings in vitro.",2000 Sep 15,J Neurosci Methods,101,2,,
"Hajos N, Katona I, Naiem SS, MacKie K, Ledent C, Mody I, Freund TF",10998107,,,,,,3239,3249,Cannabinoids inhibit hippocampal GABAergic transmission and network oscillations.,2000 Sep,Eur J Neurosci,12,9,,
"Dhillon A, Jones RS",11029534,,,,,,413,422,Laminar differences in recurrent excitatory transmission in the rat entorhinal cortex in vitro.,2000,Neuroscience,99,3,,
"Blasco-Ibanez JM, Martinez-Guijarro FJ, Freund TF",11043552,,,10.1097/00001756-200009280-00034,,,3219,3225,Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive interneurons in the granule cell layer of the rat dentate gyrus.,2000 Sep 28,Neuroreport,11,14,1000: DG:GC: Dentate gyrus granule cell,1
"Staff NP, Jung HY, Thiagarajan T, Yao M, Spruston N",11067982,,,,,,2398,2408,Resting and active properties of pyramidal neurons in subiculum and CA1 of rat hippocampus.,2000 Nov,J Neurophysiol,84,5,,0
"Moldrich G, Wenger T",11090929,,,,,,1735,1742,Localization of the CB1 cannabinoid receptor in the rat brain. An immunohistochemical study.,2000 Nov,Peptides,21,11,,
"Gloveli T, Dugladze T, Schmitz D, Heinemann U",11168548,,,10.1046/j.0953-816X.2000.01405.x,,,413,420,Properties of entorhinal cortex deep layer neurons projecting to the rat dentate  gyrus.,2001 Jan,Eur J Neurosci,13,2,6002: EC:PC_V-DG-SUB: EC deep layer pyramidal neuron ### 6085: EC:PC_V-DG: EC layer V pyramidal neuron ### 6086: EC:MPN_V-VI: EC layer V multipolar neuron; EC layer V nonpyramidal projection neuron,1
"Megias M, Emri Z, Freund TF, Gulyas AI",11226691,,,10.1016/S0306-4522(00)00496-6,,,527,540,Total number and distribution of inhibitory and excitatory synapses on hippocampal CA1 pyramidal cells.,2001,Neuroscience,102,3,,0
"O'Mara SM, Commins S, Anderson M, Gigg J",11240210,,,10.1016/S0301-0082(00)00054-X,,,129,155,"The subiculum: a review of form, physiology and function.",2001 Jun,Prog Neurobiol,64,2,5001: SUB:PC-EC: subicular pyramidal neuron ### 5005: SUB:PC-CA1: subicular pyramidal neuron,1
"Ratzliff AD, Soltesz I",11246149,,,,,,337,349,"Differential immunoreactivity for alpha-actinin-2, an N-methyl-D-aspartate-receptor/actin binding protein, in hippocampal interneurons.",2001,Neuroscience,103,2,,
"Harris E, Stewart M",11259758,,,10.1016/S0006-8993(01)02023-6,,,41,49,Propagation of synchronous epileptiform events from subiculum backward into area  CA1 of rat brain slices.,2001 Mar 23,Brain Res,895,02-Jan,5005: SUB:PC-CA1: subicular pyramidal cell,1
"Bartos M, Vida I, Frotscher M, Geiger JR, Jonas P",11306622,,,,,,2687,2698,Rapid signaling at inhibitory synapses in a dentate gyrus interneuron network.,2001 Apr 15,J Neurosci,21,8,1033: DG:BC: Dentate gyrus basket cells,1
"Naber PA, Lopes da Silva FH, Witter MP",11345131,,,10.1002/hipo.1028,,,99,104,Reciprocal connections between the entorhinal cortex and hippocampal fields CA1 and the subiculum are in register with the projections from CA1 to the subiculum.,2001,Hippocampus,11,2,4000: CA1:PC: CA1 fibers,1
"Savic N, Sciancalepore M",11353016,,,,,,1998,2007,"Electrophysiological characterization of ""giant"" cells in stratum radiatum of the CA3 hippocampal region.",2001 May,J Neurophysiol,85,5,2003: CA3:RGC: CA3 giant cell ### 2002: CA3:SO_RGC: CA3 giant cell,1
"Harris E, Witter MP, Weinstein G, Stewart M",11406828,,,,,,490,505,Intrinsic connectivity of the rat subiculum: I. Dendritic morphology and patterns of axonal arborization by pyramidal neurons.,2001 Jul 9,J Comp Neurol,435,4,,
"Harris E, Stewart M",11406829,PMC1592136,NIHMSID12522,10.1002/cne.1047,,1,506,518,Intrinsic connectivity of the rat subiculum: II. Properties of synchronous spontaneous activity and a demonstration of multiple generator regions.,2001 Jul 9,J Comp Neurol,435,4,"5001: SUB:PC-EC: subicular pyramidal cell, subicular principal cell ### 5005: SUB:PC-CA1: subicular pyramidal cell, subicular principal cell",1
"Boyett JM, Buckmaster PS",11530846,,,10.1002/hipo.1056,,,418,422,Somatostatin-immunoreactive interneurons contribute to lateral inhibitory circuits in the dentate gyrus of control and epileptic rats.,2001,Hippocampus,11,4,,0
"Merrill DA, Chiba AA, Tuszynski MH",11559900,,,10.1002/cne.1327,,,445,456,Conservation of neuronal number and size in the entorhinal cortex of behaviorally characterized aged rats.,2001 Oct 1,J Comp Neurol,438,4,,0
"Wouterlood FG, Grosche J, Hartig W",11743965,,,,,,310,314,Co-localization of calretinin and calbindin in distinct cells in the hippocampal  formation of the rat.,2001 Dec 20,Brain Res,922,2,,
"Cope DW, Maccaferri G, Marton LF, Roberts JD, Cobden PM, Somogyi P",11784700,,,10.1016/S0306-4522(01)00440-7,,,63,80,Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the  rat hippocampus.,2002,Neuroscience,109,1,4028: CA1:SCA-SR-CB: CA1 Schaffer collateral-associated cells,1
"Pawelzik H, Hughes DI, Thomson AM",11807843,,,10.1002/cne.10118,,,346,367,Physiological and morphological diversity of immunocytochemically defined parvalbumin- and cholecystokinin-positive interneurones in CA1 of the adult rat hippocampus.,2002 Feb 18,J Comp Neurol,443,4,"4000: CA1:PC: CA1 pyramidal cell ### 4003: CA1:QuadC: quadrilaminar ### 4015: CA1:SCA-ADI: CA1 CCK-IR trilaminar cell ### 4037: CA1:BC: CA1 basket PV, CA1 basket CCK ### 4036: CA1:AA: CA1 axo-axonic neuron ### 4026: CA1:BiC-ivy: CA1 bistratified cells, CA1 wide-arbour PV-IR basket cells ### 4028: CA1:SCA-SR-CB: CA1 CCK-IR Schaffer-associated cells ### 4035: CA1:TH-ORP-DP-OR: CA1 CCK-IR trilaminar ### 4039: CA1:BC-FSPTI: CA1 basket cell, CA1 CCK+ basket cell, CA1 horizontal basket cell ### 4033: CA1:CB-SOSO: CA1 SO-SO cells, CA1 CCK-IR SO-SO cells, CA1 CB-containing interneurons, CA1 type II cells",1
"Sadowski M, Lazarewicz JW, Jakubowska-Sadowska K, Wisniewski HM, Mossakowski MJ, Brown WT",11872264,,,10.1016/S0304-3940(01)02426-0,,,90,94,Long-term changes in calbindin D(28K) immunoreactivity in the rat hippocampus after cardiac arrest.,2002 Mar 15,Neurosci Lett,321,02-Jan,,0
"Buckmaster PS, Yamawaki R, Zhang GF",11920713,,,10.1002/cne.10183,,,360,373,Axon arbors and synaptic connections of a vulnerable population of interneurons in the dentate gyrus in vivo.,2002 Apr 15,J Comp Neurol,445,4,,0
"Drake CT, Milner TA",12000113,,,10.1002/hipo.1107,,,119,136,Mu opioid receptors are in discrete hippocampal interneuron subpopulations.,2002,Hippocampus,12,2,,
"Nakazawa K, Quirk MC, Chitwood RA, Watanabe M, Yeckel MF, Sun LD, Kato A, Carr CA, Johnston D, Wilson MA, Tonegawa S",12040087,PMC2877140,,,,,211,8,Requirement for hippocampal CA3 NMDA receptors in associative memory recall. ,2002 Jul 12,Science,297,5579,,
"Losonczy A, Zhang L, Shigemoto R, Somogyi P, Nusser Z",12096061,PMC2290398,,10.1113/jphysiol.2002.020024,,1,193,210,Cell type dependence and variability in the short-term plasticity of EPSCs in identified mouse hippocampal interneurones.,2002 Jul 1,J Physiol,542,Pt 1,4068: CA1:O-BiC: CA1 oriens-bistratified cells ### 4069: CA1:O-LM: CA1 O-LM cells ### 3005: CA2:wide_SO-SO: CA1 oriens-bistratified cells ### 4067: CA1:SO_O-LM: CA1 O-LM cells,1
"Jinno S, Kosaka T",12115690,,,10.1002/cne.10251,,,1,25,Patterns of expression of calcium binding proteins and neuronal nitric oxide synthase in different populations of hippocampal GABAergic neurons in mice.,2002 Jul 15,J Comp Neurol,449,1,,0
"Jinno S, Kosaka T",12126884,,,10.1016/S0006-8993(02)02804-4,,,219,231,Immunocytochemical characterization of hippocamposeptal projecting GABAergic nonprincipal neurons in the mouse brain: a retrograde labeling study.,2002 Aug 2,Brain Res,945,2,,0
"Smialowska M, Szewczyk B, Branski P, Wieronska JM, Palucha A, Bajkowska M, Pilc A",12128002,,,,,,1016,1023,Effect of chronic imipramine or electroconvulsive shock on the expression of mGluR1a and mGluR5a immunoreactivity in rat brain hippocampus.,2002 Jun,Neuropharmacology,42,8,,
"Hamam BN, Amaral DG, Alonso AA",12209840,,,10.1002/cne.10335,,,45,61,Morphological and electrophysiological characteristics of layer V neurons of the  rat lateral entorhinal cortex.,2002 Sep 9,J Comp Neurol,451,1,6085: EC:PC_V-DG: EC layer V horizontal cell ### 6021: EC:PC_V_sm: LEC layer V pyramidal cells ### 6077: EC:MPN_2_V: EC layer V polymorphic cells,1
"Bartos M, Vida I, Frotscher M, Meyer A, Monyer H, Geiger JR, Jonas P",12235359,PMC130614,,,,,13222,7,Fast synaptic inhibition promotes synchronized gamma oscillations in hippocampal interneuron networks. ,2002 Oct 1,Proc Natl Acad Sci U S A,99,20,,
"Harney SC, Jones MV",12367604,,,,,,584,594,Pre- and postsynaptic properties of somatic and dendritic inhibition in dentate gyrus.,2002 Sep,Neuropharmacology,43,4,,
"Seress L, Abraham H, Lin H, Totterdell S",12373367,,,10.1007/s00221-002-1242-2,,,38,44,Nitric oxide-containing pyramidal neurons of the subiculum innervate the CA1 area.,2002 Nov,Exp Brain Res,147,1,5003: SUB:PC_NOS: SUB neuron-specific nitric oxide synthase-positive pyramidal neurons ### 5003: SUB:PC_NOS: SUB nNOS-positive pyramidal neurons,0
"Castro PA, Pleasure SJ, Baraban SC",12379251,,,,,,961,972,Hippocampal heterotopia with molecular and electrophysiological properties of neocortical neurons.,2002,Neuroscience,114,4,,
"Rapp PR, Deroche PS, Mao Y, Burwell RD",12379605,,,10.1093/cercor/12.11.1171,,,1171,1179,Neuron number in the parahippocampal region is preserved in aged rats with spatial learning deficits.,2002 Nov,Cereb Cortex,12,11,,0
"Fremeau RT Jr, Burman J, Qureshi T, Tran CH, Proctor J, Johnson J, Zhang H, Sulzer D, Copenhagen DR, Storm-Mathisen J, Reimer RJ, Chaudhry FA, Edwards RH",12388773,,,10.1073/pnas.222546799,,,14488,14493,The identification of vesicular glutamate transporter 3 suggests novel modes of signaling by glutamate.,2002 Oct 29,Proc Natl Acad Sci U S A,99,22,,
"Pawelzik H, Hughes DI, Thomson AM",12562998,PMC2342589,,10.1113/jphysiol.2002.035121,,,701,16,Modulation of inhibitory autapses and synapses on rat CA1 interneurones by GABA(A) receptor ligands. ,2003 Feb 1,J Physiol,546,Pt 3,,
"Krazem A, Mons N, Higueret P, Jaffard R",12565141,,,,,,62,66,Chronic ethanol consumption restores the age-related decrease in neurogranin mRNA level in the hippocampus of mice.,2003 Feb 20,Neurosci Lett,338,1,,
"Hamam BN, Kennedy TE",12581850,,,,,,61,67,Visualization of the dendritic arbor of neurons in intact 500 microm thick brain  slices.,2003 Feb 15,J Neurosci Methods,123,1,,
"Klausberger T, Magill PJ, Marton LF, Roberts JD, Cobden PM, Buzsaki G, Somogyi P",12594513,,,10.1038/nature01374,,,844,848,Brain-state- and cell-type-specific firing of hippocampal interneurons in vivo.,2003 Feb 20,Nature,421,6925,,
"Wang X, Lambert NA",12614688,,,10.1016/S0306-4522(02)00659-0,,,485,492,Membrane properties of identified lateral and medial perforant pathway projection neurons.,2003,Neuroscience,117,2,,0
"van Groen T, Miettinen P, Kadish I",12625464,,,10.1002/hipo.10037,,,133,149,The entorhinal cortex of the mouse: organization of the projection to the hippocampal formation.,2003,Hippocampus,13,1,,0
"Dinocourt C, Petanjek Z, Freund TF, Ben-Ari Y, Esclapez M",12687707,,,10.1002/cne.10622,,,407,425,Loss of interneurons innervating pyramidal cell dendrites and axon initial segments in the CA1 region of the hippocampus following pilocarpine-induced seizures.,2003 May 12,J Comp Neurol,459,4,,
"Jinno S, Kosaka T",12746872,,,10.1002/cne.10700,,,333,349,Patterns of expression of neuropeptides in GABAergic nonprincipal neurons in the  mouse hippocampus: Quantitative analysis with optical disector.,2003 Jun 30,J Comp Neurol,461,3,,0
"Gulyas AI, Hajos N, Katona I, Freund TF",12752786,,,,,,1861,1872,Interneurons are the local targets of hippocampal inhibitory cells which project  to the medial septum.,2003 May,Eur J Neurosci,17,9,,
"Blackshaw S, Eliasson MJ, Sawa A, Watkins CC, Krug D, Gupta A, Arai T, Ferrante RJ, Snyder SH",12831857,,,,,,979,990,"Species, strain and developmental variations in hippocampal neuronal and endothelial nitric oxide synthase clarify discrepancies in nitric oxide-dependent synaptic plasticity.",2003,Neuroscience,119,4,,
Freund TF,12948660,,,10.1016/S0166-2236(03)00227-3,,,489,495,Interneuron Diversity series: Rhythm and mood in perisomatic inhibition.,2003 Sep,Trends Neurosci,26,9,,
"Morozov YM, Freund TF",12956720,,,,,,1213,1222,Post-natal development of type 1 cannabinoid receptor immunoreactivity in the rat hippocampus.,2003 Sep,Eur J Neurosci,18,5,,
"Scharfman HE, Sollas AE, Berger RE, Goodman JH, Pierce JP",14580952,,,,,,1017,1029,Perforant path activation of ectopic granule cells that are born after pilocarpine-induced seizures.,2003,Neuroscience,121,4,,
"Klausberger T, Marton LF, Baude A, Roberts JD, Magill PJ, Somogyi P",14634650,,,10.1038/nn1159,,,41,47,Spike timing of dendrite-targeting bistratified cells during hippocampal network  oscillations in vivo.,2004 Jan,Nat Neurosci,7,1,,
"Jinno S, Kosaka T",14643757,,,,,,869,884,"Heterogeneous expression of the cholecystokinin-like immunoreactivity in the mouse hippocampus, with special reference to the dorsoventral difference.",2003,Neuroscience,122,4,,
