Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Name of file containing figure,Figure/Table,Quote reference id,Representative?,NMO_ID,Interpretation notes figures,New?,Notes,copied to portal folder,Ordering
Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,4035,Klausberger--2009-947-EurJNeurosci-Fig1-CA1_(-)0113p-SUB_111_TH-ORP-DP-OR.jpeg,figure,630705,,,,,,,334
Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,4080,Klausberger--2009-947-EurJNeurosci-Fig2-CA1_0333_Bistratified.jpeg,figure,630707,,,,,,,342
"Zemankovics R, Veres JM, Oren I, Hájos N",Feedforward inhibition underlies the propagation of cholinergically induced gamma oscillations from hippocampal CA3 to CA1,Journal of Neuroscience,2013,23884940,4104,Zemankovics-Hajos-2013-12337-v33-n30-JNeurosci-Fig2B-Cell4104.jpeg,figure,630710,,no 3D reconstructions,,,,,749
Houser CR,"Interneurons of the dentate gyrus: an overview of cell types, terminal fields and neurochemical identity",Progress in Brain Research,2007,17765721,1035,Houser--2007-217-ProgBrainRes-Fig3.jpeg,figure,630711,,,,,,,315
Houser CR,"Interneurons of the dentate gyrus: an overview of cell types, terminal fields and neurochemical identity",Progress in Brain Research,2007,17765721,1013,Houser--2007-217-ProgBrainRes-Fig3.jpeg,figure,630713,,,,,,,314
Houser CR,"Interneurons of the dentate gyrus: an overview of cell types, terminal fields and neurochemical identity",Progress in Brain Research,2007,17765721,1010,Houser--2007-217-ProgBrainRes-Fig3.jpeg,figure,630715,,,,,,,314
Ali AB,CB1 modulation of temporally distinct synaptic facilitation among local circuit interneurons mediated by N-type calcium channels in CA1,Journal of Neurophysiology,2011,21123660,4104,Ali--2011-1051-v105-JNeurophysiol-Fig2A-Cell4104.jpeg,figure,630716,,not yet in database,,,,,750
Houser CR,"Interneurons of the dentate gyrus: an overview of cell types, terminal fields and neurochemical identity",Progress in Brain Research,2007,17765721,1009,Houser--2007-217-ProgBrainRes-Fig3.jpeg,figure,630717,,,,,,,313
"Martínez A, Lübke J, Del Río JA, Soriano E, Frotscher M",Regional variability and postsynaptic targets of chandelier cells in the hippocampal formation of the rat,Journal of Comparative Neurology,1996,8946282,4106,Martinez-Frotscher-1996-28-JCompNeurol-Fig1B-Cell4106.jpeg,figure,630724,,not yet in database,,,,,751
"Guly_s AI, Freund TF",Pyramidal Cell Dendrites Are the Primary Targets of  Calbindin D28k-Immunoreactive Interneurons in the Hippocampus ,Hippocampus,1996,8953305,4084,Gulyas-Freund-1996-525-Hippocampus-Fig2-Cell4084.jpeg,figure,630725,,,,,,,270
"Martínez A, Lübke J, Del Río JA, Soriano E, Frotscher M",Regional variability and postsynaptic targets of chandelier cells in the hippocampal formation of the rat,Journal of Comparative Neurology,1996,8946282,4106,Martinez-Frotscher-1996-28-JCompNeurol-Fig2A-Cell4106.jpeg,figure,630726,,not yet in database,,,,,752
"Guly_s AI, Freund TF",Pyramidal Cell Dendrites Are the Primary Targets of  Calbindin D28k-Immunoreactive Interneurons in the Hippocampus ,Hippocampus,1996,8953305,2023,Gulyas-Freund-1996-525-Hippocampus-Fig1-CA3_-03000_R_CB.jpeg,figure,630727,,,,,,,267
"Tyan L, Chamberland S, Magnin E, Camiré O, Francavilla R, David LS, Deisseroth K, Topolnik L",Dendritic inhibition provided by interneuron-specific cells controls the firing rate and timing of the hippocampal feedback inhibitory circuitry,Journal of Neuroscience,2014,24671999,4106,Tyan-Topolnik-2014-4534-JNeurosci-Fig7B4-Cell4106.jpeg,figure,630730,,NMO_50502,,,,,753
"Hájos N, Karlócai MR, Németh B, Ulbert I, Monyer H, Szabó G, Erdélyi F, Freund TF, Gulyás AI",Input-output features of anatomically identified CA3 neurons during hippocampal sharp wave/ripple oscillation in vitro,Journal of Neuroscience,2013,23843535,2052,Hajos-Gulyas-2013-11677-JNeurosci-Fig5C-Cell2052.jpeg,figure,630738,1,no 3D reconstructions,,,,,754
"Szabó GG, Papp OI, Máté Z, Szabó G, Hájos N",Anatomically heterogeneous populations of CB1 cannabinoid receptor-expressing interneurons in the CA3 region of the hippocampus show homogeneous input-output characteristics,Hippocampus,2014,25044969,2053,Szabo-Hajos-2014-1506-v24-Hippocampus-Fig3A-Cell2053.jpeg,figure,630746,1,,,,,,755
"Szabó GG, Papp OI, Máté Z, Szabó G, Hájos N",Anatomically heterogeneous populations of CB1 cannabinoid receptor-expressing interneurons in the CA3 region of the hippocampus show homogeneous input-output characteristics,Hippocampus,2014,25044969,2125,Szabo-Hajos-2014-1506-v24-Hippocampus-Fig4A_n2_Cell2125.jpeg,figure,630748,,,,,,,756
"Szabó GG, Papp OI, Máté Z, Szabó G, Hájos N",Anatomically heterogeneous populations of CB1 cannabinoid receptor-expressing interneurons in the CA3 region of the hippocampus show homogeneous input-output characteristics,Hippocampus,2014,25044969,2053,Szabo-Hajos-2014-1506-v24-Hippocampus-Fig4A_n3_Cell2053.jpeg,figure,630750,,,,,,,757
