source_id,target_id,subregion,parcel,NPS_mean,NPS_std
2005,2000,CA3,SR,0.006137128,0
2005,2001,CA3,SLM,0.122604037,0.040908932
2005,2001,CA3,SR,0.001322278,3.75764E-05
2005,2004,CA3,SR,0.012481805,0
2005,2005,CA3,SLM,0.07950142,0
2005,2005,CA3,SR,0.00121855,0
2005,2008,CA3,SR,0.011614215,0
2005,2013,CA3,SR,0.006615286,0.002122787
2005,2014,CA3,SR,0.005244495,0.00198262
2005,2023,CA3,SR,0.016542708,0.012100453
2005,2028,CA3,SLM,0.097213778,0
2005,2028,CA3,SR,0.004653044,0
2005,2035,CA3,SR,0.00778105,0
2005,2036,CA3,SR,0.007824156,0.000128787
2005,2043,CA3,SLM,0.122532268,0
2005,2043,CA3,SR,0.005721728,0
2005,2044,CA3,SLM,0.0592648,0
2005,2044,CA3,SR,0.00758426,0
2005,2045,CA3,SR,0.00688426,0
2005,2046,CA3,SR,0.003780156,3.74839E-05
2005,2049,CA3,SR,0.002046642,0
2008,2000,CA3,SLM,0.171493421,0
2008,2001,CA3,SLM,0.116281545,0.038799324
2008,2005,CA3,SLM,0.07540166,0
2008,2028,CA3,SLM,0.092200621,0
2008,2043,CA3,SLM,0.116213477,0
2008,2044,CA3,SLM,0.05620861,0
2009,2000,CA3,SLM,0.12356978,0
2009,2000,CA3,SO,0.011770874,0
2009,2000,CA3,SR,0.004187007,0
2009,2001,CA3,SLM,0.0837868,0.027956897
2009,2001,CA3,SR,0.000902114,2.56362E-05
2009,2004,CA3,SO,0.010069842,0
2009,2004,CA3,SR,0.008515612,0
2009,2005,CA3,SLM,0.054330752,0
2009,2005,CA3,SR,0.000831346,0
2009,2008,CA3,SR,0.007923706,0
2009,2009,CA3,SO,0.020234972,0
2009,2013,CA3,SR,0.004513226,0.001448255
2009,2014,CA3,SR,0.003578015,0.001352627
2009,2020,CA3,SO,0.02125391,0.003102162
2009,2021,CA3,SO,0.0181664,0.00519702
2009,2022,CA3,SO,0.009007624,0
2009,2023,CA3,SR,0.011286131,0.008255438
2009,2028,CA3,SLM,0.066435262,0
2009,2028,CA3,SO,0.008693285,0
2009,2028,CA3,SR,0.003174502,0
2009,2035,CA3,SO,0.004954928,0
2009,2035,CA3,SR,0.00530856,0
2009,2036,CA3,SR,0.005337969,8.7864E-05
2009,2043,CA3,SLM,0.083737753,0
2009,2043,CA3,SO,0.005626473,0
2009,2043,CA3,SR,0.003903603,0
2009,2044,CA3,SLM,0.040501178,0
2009,2044,CA3,SO,0.000670412,0
2009,2044,CA3,SR,0.005174301,0
2009,2045,CA3,SO,0.005429498,0
2009,2045,CA3,SR,0.004696732,0
2009,2046,CA3,SO,0.001402462,0.000130653
2009,2046,CA3,SR,0.002578981,2.55731E-05
