# ----------------------------------------
# All Web Site Data
# Landing Pages
# 20150101-20230701
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
/php/property_page_morphology.php?id_neuron=3000&val_property=CA2_SR&color=violet&page=1,3,33.33%,1,66.67%,1.67,00:09:00,0.00%,0,$0.00
/php/property_page_synpro_pvals.php?id_neuron_source=4023&id_neuron_target=4005&color=blue&page=1&nm_page=ps,3,0.00%,0,33.33%,4.33,00:11:46,0.00%,0,$0.00
/synapse_probabilities/php/synapse_probabilities_dal.php,3,0.00%,0,33.33%,8.33,00:25:13,0.00%,0,$0.00
/synaptic_probabilities/php/index.php,3,0.00%,0,0.00%,30.67,00:43:32,0.00%,0,$0.00
/devur2/firing_patterns.php,2,0.00%,0,0.00%,4.00,00:15:43,0.00%,0,$0.00
/devur3/property_page_phases.php?id_neuron=1000&val_property=theta,2,0.00%,0,0.00%,21.00,00:14:19,0.00%,0,$0.00
/devur3/property_page_phases.php?id_neuron=1035&val_property=swr_ratio,2,0.00%,0,50.00%,4.00,00:09:53,0.00%,0,$0.00
/hippocampome/php/,2,0.00%,0,0.00%,2.50,00:01:24,0.00%,0,$0.00
/php_test/,2,0.00%,0,50.00%,1.50,00:00:12,0.00%,0,$0.00
/php_v2_dev/property_page_phases.php,2,0.00%,0,0.00%,26.50,01:24:07,0.00%,0,$0.00
/php_v2_dev/property_page_phases.php?id_neuron=4036&val_property=theta,2,0.00%,0,0.00%,11.00,01:03:16,0.00%,0,$0.00
/php_v2_dev/property_page_phases.php?id_neuron=4084&val_property=theta,2,0.00%,0,0.00%,7.00,00:05:01,0.00%,0,$0.00
/php_v2_dev/property_page_synpro_pvals.php?id_neuron_source=2019&id_neuron_target=1006&color=blue&page=1&nm_page=prosyn,2,0.00%,0,50.00%,23.50,00:47:20,0.00%,0,$0.00
/php_v2_dev/synapse_probabilities_sd.php,2,0.00%,0,0.00%,5.00,00:24:44,0.00%,0,$0.00
/php_v2/index_alt2.php,2,0.00%,0,50.00%,1.50,00:01:01,0.00%,0,$0.00
/php_v2/property_page_synpro.php?id_neuron=1000&val_property=DG_H&color=red&page=1&sp_page=dal,2,0.00%,0,0.00%,2.50,00:00:30,0.00%,0,$0.00
/php_v2/synapse_probabilities_sypr.php,2,0.00%,0,50.00%,2.00,00:04:37,0.00%,0,$0.00
/php/connectivity.php?refreshed=,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/find_author.php?searching=1,2,50.00%,1,0.00%,12.00,00:01:28,0.00%,0,$0.00
/php/firing_patterns.php?show_only=4,2,0.00%,0,0.00%,4.50,00:00:40,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=CA3_SL&color1=red&id2_neuron=2000&val2_property=CA3_SL&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,2,50.00%,1,50.00%,2.00,00:01:05,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=CA3_SL&color1=red&id2_neuron=2028&val2_property=CA3_SL&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,2,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1002&val2_property=DG_H&color2=violetSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,2,0.00%,0,50.00%,3.00,00:00:42,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=1002&val1_property=&color1=&id2_neuron=1000&val2_property=&color2=&connection_type=&known_conn_flag=1&axonic_basket_flag=0&page=1,2,0.00%,0,0.00%,6.50,00:05:37,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=1026&val1_property=CA3_SR&color1=red&id2_neuron=2000&val2_property=CA3_SR&color2=violet&connection_type=1&known_conn_flag=0&axonic_basket_flag=0&page=1,2,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=1035&val1_property=DG_SG&color1=violetSoma&id2_neuron=1009&val2_property=DG_SG&color2=blueSoma&connection_type=1&known_conn_flag=1&axonic_basket_flag=2&page=1,2,0.00%,0,50.00%,2.00,00:00:29,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=1041&val1_property=DG_H&color1=violetSoma&id2_neuron=1041&val2_property=DG_H&color2=violetSoma&connection_type=2&known_conn_flag=0&axonic_basket_flag=0&page=1,2,0.00%,0,50.00%,1.50,00:00:40,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=2000&val1_property=CA1_SO&color1=red&id2_neuron=4069&val2_property=CA1_SO&color2=blueSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,2,0.00%,0,0.00%,6.00,00:03:17,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=2001&val1_property=CA3_SL&color1=redSoma&id2_neuron=2000&val2_property=CA3_SL&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,2,50.00%,1,50.00%,2.00,00:01:10,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=4000&val1_property=CA1_SO&color1=violet&id2_neuron=4078&val2_property=CA1_SO&color2=blueSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,2,0.00%,0,0.00%,2.00,00:00:15,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=4000&val1_property=CA1_SO&color1=violet&id2_neuron=4080&val2_property=CA1_SO&color2=violetSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,2,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=4000&val1_property=CA1_SO&color1=violet&id2_neuron=4084&val2_property=CA1_SO&color2=blueSoma&connection_type=2&known_conn_flag=0&axonic_basket_flag=0&page=1,2,0.00%,0,50.00%,2.00,00:01:13,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=6003&val1_property=DG_SMo&color1=red&id2_neuron=1000&val2_property=DG_SMo&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,2,0.00%,0,0.00%,5.50,00:22:05,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=6005&val1_property=DG_SMo&color1=red&id2_neuron=1036&val2_property=DG_SMo&color2=blue&connection_type=2&known_conn_flag=0&axonic_basket_flag=0&page=1,2,50.00%,1,0.00%,2.50,00:12:58,0.00%,0,$0.00
/php/property_page_counts.php?id_neuron=1000&val_property=counts,2,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
