# ----------------------------------------
# All Web Site Data
# Exit Pages
# 20150101-20230701
# ----------------------------------------

Page,Exits,Pageviews,% Exit
/php/property_page_connectivity.php?id1_neuron=2000&val1_property=CA2_SR&color1=red&id2_neuron=3000&val2_property=CA2_SR&color2=violet&connection_type=2&known_conn_flag=0&axonic_basket_flag=0&page=1,3,5,60.00%
/php/property_page_connectivity.php?id1_neuron=4022&val1_property=CA1_SO&color1=violet&id2_neuron=4069&val2_property=CA1_SO&color2=blueSoma&connection_type=1&known_conn_flag=1&axonic_basket_flag=0&page=1,3,7,42.86%
/php/property_page_connectivity.php?id1_neuron=4036&val1_property=CA1_SP&color1=violetSoma&id2_neuron=4000&val2_property=CA1_SP&color2=blueSoma&connection_type=1&known_conn_flag=1&axonic_basket_flag=1&page=1,3,5,60.00%
/php/property_page_connectivity.php?id1_neuron=6017&val1_property=CA1_SLM&color1=red&id2_neuron=4000&val2_property=CA1_SLM&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,3,8,37.50%
/php/property_page_counts.php?id_neuron=2028&val_property=counts,3,4,75.00%
/php/property_page_fp.php?id_neuron=1041&parameter=RASP.&count=1&page=1,3,3,100.00%
/php/property_page_fp.php?id_neuron=2043&parameter=ASP.SLN&count=1&page=1,3,21,14.29%
/php/property_page_markers.php?id_neuron=1000&amp;val_property=mGluR1&amp;color=positive&amp;page=markers,3,3,100.00%
/php/property_page_markers.php?id_neuron=1000&amp;val_property=mGluR3&amp;color=positive&amp;page=markers,3,3,100.00%
/php/property_page_markers.php?id_neuron=1000&amp;val_property=mGluR5&amp;color=positive&amp;page=markers,3,3,100.00%
/php/property_page_markers.php?id_neuron=1000&amp;val_property=vGlut1&amp;color=positive&amp;page=markers,3,3,100.00%
/php/property_page_markers.php?id_neuron=1000&amp;val_property=Y1&amp;color=positive&amp;page=markers,3,3,100.00%
/php/property_page_markers.php?id_neuron=1000&val_property=ENK&color=positive-negative&page=markers,3,6,50.00%
/php/property_page_markers.php?id_neuron=1000&val_property=Neuropilin2&color=positive&page=markers,3,7,42.86%
/php/property_page_markers.php?id_neuron=1000&val_property=NKB&color=positive&page=markers,3,9,33.33%
/php/property_page_markers.php?id_neuron=1000&val_property=Prox1&color=positive&page=markers,3,11,27.27%
/php/property_page_markers.php?id_neuron=1000&val_property=vGluT3&color=positive-negative&page=markers,3,6,50.00%
/php/property_page_markers.php?id_neuron=1002&val_property=CR&color=positive-negative&page=markers,3,6,50.00%
/php/property_page_markers.php?id_neuron=1009&val_property=Sub P Rec&color=positive_inference&page=markers,3,6,50.00%
/php/property_page_markers.php?id_neuron=1013&val_property=SOM&color=positive-positive_inference&page=markers,3,4,75.00%
/php/property_page_markers.php?id_neuron=2000&val_property=BDNF&color=positive&page=markers,3,13,23.08%
/php/property_page_markers.php?id_neuron=2000&val_property=NKB&color=negative&page=markers,3,6,50.00%
/php/property_page_markers.php?id_neuron=2001&val_property=CB&color=positive&page=markers,3,15,20.00%
/php/property_page_markers.php?id_neuron=2036&val_property=CCK&color=positive-positive_inference&page=markers,3,5,60.00%
/php/property_page_markers.php?id_neuron=4000&val_property=Gaba-a-alpha&color=positive-negative&page=markers,3,7,42.86%
/php/property_page_markers.php?id_neuron=4000&val_property=SATB2&color=positive&page=markers,3,7,42.86%
/php/property_page_markers.php?id_neuron=4054&val_property=GluA2/3&color=positive&page=markers,3,5,60.00%
/php/property_page_markers.php?id_neuron=4069&val_property=SOM&color=positive-positive_inference-negative_inference&page=markers,3,7,42.86%
/php/property_page_morphology.php?id_neuron=1005&val_property=DG_SG&color=somata&page=1,3,4,75.00%
/php/property_page_morphology.php?id_neuron=1027&val_property=DG_H&color=violetSoma&page=1,3,7,42.86%
/php/property_page_morphology.php?id_neuron=1041&val_property=DG_H&color=violetSoma&page=1,3,9,33.33%
/php/property_page_morphology.php?id_neuron=1043&val_property=DG_SMo&color=blue&page=1,3,5,60.00%
/php/property_page_morphology.php?id_neuron=2000&val_property=CA1_SR&color=red&page=1,3,12,25.00%
/php/property_page_morphology.php?id_neuron=2000&val_property=CA3_SP&color=blueSoma&page=1,3,7,42.86%
/php/property_page_morphology.php?id_neuron=2008&val_property=CA3_SR&color=blueSoma&page=1,3,4,75.00%
/php/property_page_morphology.php?id_neuron=4055&val_property=CA1_SO&color=somata&page=1,3,4,75.00%
/php/property_page_morphology.php?id_neuron=4098&val_property=CA1_SP&color=somata&page=1,3,8,37.50%
/php/property_page_phases.php?id_neuron=1000&val_property=all_other,3,41,7.32%
/php/property_page_phases.php?id_neuron=2000&val_property=all_other,3,6,50.00%
/php/property_page_phases.php?pre_id=1000,3,16,18.75%
/php/property_page_synpro_pvals.php?id_neuron_source=1000&id_neuron_target=1041&color=blue&page=1&nm_page=prosyn,3,24,12.50%
/php/property_page_synpro_pvals.php?id_neuron_source=2000&id_neuron_target=2000&color=blue&page=1&nm_page=noc,3,6,50.00%
/php/property_page_synpro_pvals.php?id_neuron_source=2000&id_neuron_target=2000&color=blue&page=1&nm_page=prosyn,3,21,14.29%
/php/property_page_synpro_pvals.php?id_neuron_source=4023&id_neuron_target=4005&color=blue&page=1&nm_page=ps,3,7,42.86%
/php/search_engine.php,3,9,33.33%
/php/search.php?relation=is expressed&N=1,3,10,30.00%
/php/synaptic_mod_sum.php?pre_id=2000&post_id=2000,3,7,42.86%
/php/user_feedback_send_email.php,3,3,100.00%
/synapse_probabilities/php/property_page_fp.php,3,9,33.33%
/synapse_probabilities/php/property_page_morphology.php,3,55,5.45%
/synapse_probabilities/php/property_page_synpro_nm.php?id_neuron_source=1000&id_neuron_target=1041&color=violetSoma&page=1&nm_page=ps,3,39,7.69%
/synapse_probabilities/php/property_page_synpro.php?id_neuron=1000&val_property=DG_SMi&color=violetSoma&page=1,3,71,4.23%
/synaptome/php/params_summary.php,3,49,6.12%
/devur2/firing_patterns.php,2,8,25.00%
/devur2/property_page_markers.php?id_neuron=1000&val_property=PCP4&color=positive&page=markers,2,5,40.00%
/devur2/property_page_markers.php?id_neuron=4000&val_property=CB&color=positive-negative-weak_positive&page=markers,2,2,100.00%
/devur2/property_page_morphology.php?id_neuron=4098&val_property=CA1_SP&color=blueSoma&page=1,2,4,50.00%
/devur2/synapse_probabilities_dal.php,2,8,25.00%
/devur3/property_page_counts.php?id_neuron=1002&val_property=counts,2,5,40.00%
/devur3/property_page_markers.php?id_neuron=4098&val_property=Wfs1&color=positive&page=markers,2,4,50.00%
/devur3/property_page_phases.php?id_neuron=1008&val_property=swr_ratio,2,3,66.67%
/devur5/morphology.php,2,8,25.00%
/hippocampome/firing_patterns.php,2,3,66.67%
/hippocampome/synapse_probabilities_dal.php,2,2,100.00%
/php_test/,2,3,66.67%
/php_v2_bak_20221117/firing_patterns.php,2,2,100.00%
/php_v2_dev/property_page_phases.php?id_neuron=4036&val_property=theta,2,14,14.29%
/php_v2_dev/property_page_synpro_nm.php,2,34,5.88%
/php_v2_dev/property_page_synpro_nm.php?id1_neuron=1035&val1_property=DG_SG&color1=red&id2_neuron=1010&val2_property=DG_SG&color2=blue&connection_type=1&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=prosyn,2,5,40.00%
/php_v2/index_alt1.php,2,15,13.33%
/php_v2/property_page_connectivity.php,2,9,22.22%
/php_v2/property_page_morphology.php?id_neuron=6092&val_property=CA1_SO&color=red&page=1,2,2,100.00%
/php_v2/property_page_phases.php?id_neuron=4012&val_property=theta,2,9,22.22%
/php_v2/property_page_phases.php?id_neuron=4069&val_property=theta,2,4,50.00%
/php_v2/property_page_synpro_pvals.php?id_neuron_source=2020&id_neuron_target=3007&color=blue&page=1&nm_page=prosyn,2,2,100.00%
/php_v2/property_page_synpro.php?id_neuron=1000&val_property=DG_H&color=red&page=1&sp_page=dal,2,24,8.33%
/php_v2/synapse_probabilities_noc.php,2,15,13.33%
/php_v2/synapse_probabilities_ps.php,2,17,11.76%
/php/ephys.php?refreshed=,2,2,100.00%
/php/find_author.php?name_author=Han ZS&first_author=H&new=1&see_result=1,2,4,50.00%
/php/firing_patterns.php?show_only=10,2,14,14.29%
/php/firing_patterns.php?show_only=16,2,6,33.33%
/php/firing_patterns.php?show_only=2,2,9,22.22%
/php/firing_patterns.php?show_only=9,2,6,33.33%
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=CA3_SL&color1=red&id2_neuron=2004&val2_property=CA3_SL&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,2,3,66.67%
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1001&val2_property=DG_H&color2=violetSoma&connection_type=2&known_conn_flag=0&axonic_basket_flag=0&page=1,2,2,100.00%
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1004&val2_property=DG_H&color2=violet&connection_type=2&known_conn_flag=0&axonic_basket_flag=0&page=1,2,3,66.67%
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1013&val2_property=DG_H&color2=blueSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,2,6,33.33%
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1026&val2_property=DG_H&color2=violetSoma&connection_type=2&known_conn_flag=0&axonic_basket_flag=0&page=1,2,2,100.00%
/php/property_page_connectivity.php?id1_neuron=1002&val1_property=DG_SMi&color1=red&id2_neuron=1004&val2_property=DG_SMi&color2=violet&connection_type=2&known_conn_flag=0&axonic_basket_flag=0&page=1,2,2,100.00%
/php/property_page_connectivity.php?id1_neuron=1002&val1_property=DG_SMi&color1=red&id2_neuron=1010&val2_property=DG_SMi&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,2,5,40.00%
/php/property_page_connectivity.php?id1_neuron=1004&val1_property=DG_SMo&color1=violet&id2_neuron=1000&val2_property=DG_SMo&color2=blue&connection_type=1&known_conn_flag=0&axonic_basket_flag=0&page=1,2,3,66.67%
/php/property_page_connectivity.php?id1_neuron=1035&val1_property=DG_SG&color1=violetSoma&id2_neuron=1009&val2_property=DG_SG&color2=blueSoma&connection_type=1&known_conn_flag=1&axonic_basket_flag=2&page=1,2,4,50.00%
/php/property_page_connectivity.php?id1_neuron=1035&val1_property=DG_SG&color1=violetSoma&id2_neuron=1035&val2_property=DG_SG&color2=violetSoma&connection_type=1&known_conn_flag=1&axonic_basket_flag=2&page=1,2,2,100.00%
